Product Id,Product Name,Price,Link of the product,Color,Scraped Image Link
510685,Gather Small Swivel Chair,$1049,https://www.crateandbarrel.com//gather-small-swivel-chair/s510685,"['Icon Metal', 'Icon White', 'Monet Frost', 'Bliss Cloud', 'Tribute Quartz']",https://cb.scene7.com/is/image/Crate/GatherSmlSwivelChair3QSSF23_3D/raw/230511165324/gather-small-swivel-chair.jpg
563108,Barrett II Track Arm Chair,$949,https://www.crateandbarrel.com//barrett-ii-track-arm-chair/s563108,[],https://cb.scene7.com/is/image/Crate/BarrettChairAsh3QF18/raw/230928122358/barrett-ii-track-arm-chair.jpg
348571,Fernie Accent Chair,$1299,https://www.crateandbarrel.com//fernie-accent-chair/s348571,"['Lammy Winter White', 'Lammy Grey', 'Lammy Toast', 'Covet Crème', 'Covet Taupe']",https://cb.scene7.com/is/image/Crate/FernieChairGrey3QSSS23/raw/221202115347/fernie-accent-chair.jpg
410207,Wells Renew Vegan Leather Chair,$1799,https://www.crateandbarrel.com//wells-renew-vegan-leather-chair/s410207,"['Renew Vegan Leather Camel', 'Renew Vegan Leather Carbon', 'Renew Vegan Leather Iron', 'Renew Vegan Leather Shrub']",https://cb.scene7.com/is/image/Crate/WellsVLChairCbn3QSSF23_3D/raw/230713104017/wells-vegan-silicone-leather-chair.jpg
562735,Hague Mid-Century Lounge Chair,$849,https://www.crateandbarrel.com//hague-mid-century-lounge-chair/s562735,"['Wonder Onyx', 'Delight Ivory']",https://cb.scene7.com/is/image/Crate/HagueChairOnyx3QSSS22/raw/221026151408/hague-mid-century-lounge-chair.jpg
538142,Halston Tufted Black Leather Accent Chair,$1699,https://www.crateandbarrel.com//halston-tufted-black-leather-accent-chair/s538142,[],https://cb.scene7.com/is/image/Crate/HalstonChair3QSSS23/raw/230307145312/halston-tufted-black-leather-accent-chair.jpg
538045,Polly Umber Black Leather Accent Chair,$1699,https://www.crateandbarrel.com//polly-umber-black-leather-accent-chair/s538045,[],https://cb.scene7.com/is/image/Crate/PollyChairUmbrBlack3QSSS23/raw/230307122343/polly-umber-black-leather-accent-chair.jpg
440932,Ojai Upholstered Wood Frame Accent Chair,$799,https://www.crateandbarrel.com//ojai-upholstered-wood-frame-accent-chair/s440932,"['Bliss Night', 'Bliss Cloud', 'Bliss Natural', 'Bliss Pewter', 'Bliss Dove']",https://cb.scene7.com/is/image/Crate/OjaiUphWFAcntChrBNht3QSSS22_3D/raw/220125141259/ojai-upholstered-wood-frame-accent-chair.jpg
611814,Lounge Small Swivel Chair,$1199,https://www.crateandbarrel.com//lounge-small-swivel-chair/s611814,"['Ascend Night', 'Ascend Ivory', 'Ascend Desert', 'Ascend Mist', 'Ascend Shadow']",https://cb.scene7.com/is/image/Crate/LoungeSmlSwvlChairAN3QSSF23_3D/raw/230526123549/lounge-small-swivel-chair.jpg
451529,Michi Woven Accent Chair,$699,https://www.crateandbarrel.com//michi-woven-accent-chair/s451529,[],https://cb.scene7.com/is/image/Crate/MichiChair3QSSS22/raw/211213154025/michi-woven-accent-chair.jpg
628997,Sensorio Swoop Arm Velvet Accent Chair by Athena Calderone,$899,https://www.crateandbarrel.com//sensorio-swoop-arm-velvet-accent-chair-by-athena-calderone/s628997,[],https://cb.scene7.com/is/image/Crate/TheSensorioChair3QSSF22/raw/220429152250/sensorio-swoop-arm-velvet-accent-chair-by-athena-calderone.jpg
537212,Gather Swivel Chair,$1149,https://www.crateandbarrel.com//gather-swivel-chair/s537212,"['Icon Metal', 'Monet Champagne', 'Icon White', 'Monet Frost', 'Bliss Cloud']",https://cb.scene7.com/is/image/Crate/GatherPTSwvlChrIcnMtl3QS20_3D/raw/230928123249/gather-swivel-chair.jpg
475138,Lounge Deep Leather Chair and a Half,$2599,https://www.crateandbarrel.com//lounge-deep-leather-chair-and-a-half/s475138,"['Lukas Iron', 'Lukas Charcoal', 'Lukas Pecan', 'Lukas Toffee']",https://cb.scene7.com/is/image/Crate/LoungIIDeepLthrCharp5IronSSS23/raw/230217111717/lounge-deep-leather-chair-and-a-half.jpg
629188,Tortona Ocher Velvet Swivel Accent Chair,$1299,https://www.crateandbarrel.com//tortona-ocher-velvet-swivel-accent-chair/s629188,[],https://cb.scene7.com/is/image/Crate/TortonaSwivelChair3QSSF22/raw/220413175057/tortona-ocher-velvet-swivel-accent-chair.jpg
508369,Medoc Swivel Chair,$1199,https://www.crateandbarrel.com//medoc-swivel-chair/s508369,"['Lucie Tapioca', 'Alessa Bordeaux', 'Lucie Smoke', 'Lucie Charcoal', 'Lucie Stone']",https://cb.scene7.com/is/image/Crate/MedocSwivelChairVlvBrdx3QSSF23/raw/230501150028/medoc-swivel-chair.jpg
411315,Domingo Leather Reclining Accent Chair with Wood Frame,$1799,https://www.crateandbarrel.com//domingo-leather-reclining-accent-chair-with-wood-frame/s411315,"['Beta Camel', 'Beta Iron', 'Old Town Black', 'Benoit Stone', 'Taurus Fern']",https://cb.scene7.com/is/image/Crate/DomingoLthrRclnrCamel3QSSS22/raw/220124163232/domingo-leather-reclining-chair-with-wood-frame.jpg
549915,Ankara Black Cane Chair with Ivory Cushion,$999,https://www.crateandbarrel.com//ankara-black-cane-chair-with-ivory-cushion/s549915,[],https://cb.scene7.com/is/image/Crate/AnkaraCaneChairBlkWBrc3QSSF21/raw/210924130443/ankara-black-cane-chair-with-ivory-cushion.jpg
